0,1,2,3,4,5,6,7,8,9,10,11,12
922,-0.075941,0.8168569999999999,0.883225,0.154408,-0.454254,1.880996,-0.321185,1.116644,0.324341,0.092698,49.773355,-40.644625
874,1.798028,-1.5521340000000001,-0.7883680000000001,-0.47466899999999995,0.34918499999999997,-0.854691,0.8711049999999999,-0.7564029999999999,-1.6547470000000002,0.8919520000000001,33.367748,-20.355287
1096,-1.205259,0.943946,0.77551,-0.663542,-1.6451189999999998,1.4719209999999998,-0.8858219999999999,1.770141,0.450508,-0.46625900000000003,60.095103,-36.515576
892,-0.055902,1.2263709999999999,0.8575020000000001,0.060562,-0.700399,1.358808,-1.719428,2.044116,0.769894,-1.020905,58.651289,-36.744376
471,1.7504060000000001,-1.178122,-1.011385,-1.011089,0.827464,-0.137302,0.646362,-0.44955900000000004,-1.416458,0.276979,34.687548,-22.726024
387,0.968093,-0.810321,-0.8272959999999999,1.687632,1.28739,-0.121269,1.0411030000000001,-0.42433999999999994,-0.793918,0.792466,42.978849,-33.971683
1288,-0.718213,1.1002299999999998,0.988298,-0.747797,-1.250838,-0.688922,-0.7604380000000001,0.42065,0.8045800000000001,-0.9216780000000001,73.774487,-27.657667
1381,-0.48327,0.208877,-0.496277,0.23953000000000002,-0.4182,1.556917,-0.984409,1.163426,0.533778,-0.068104,48.877358,-41.187802000000005
17,1.6714360000000001,-0.9355,-1.564983,-0.0063100000000000005,0.161746,-1.017493,0.715701,-1.526851,-1.438381,0.655219,28.845551,-6.730017
1239,-1.563004,1.075453,2.034575,-0.760576,-0.655981,-0.8728290000000001,-1.265878,0.6176119999999999,1.563854,-0.8352139999999999,77.01893199999999,-26.086999
1327,0.43828,-1.144678,-1.645466,0.1142,1.3769200000000001,-1.0217610000000001,1.597781,-0.847828,-0.627898,0.335037,31.479048,-14.267319
754,-1.108627,0.742379,2.235522,-1.430512,-1.160634,-0.113481,-1.174959,0.452221,1.8063939999999998,-2.061307,77.225769,-25.484563
125,-0.344486,0.902141,0.583589,-0.48499799999999993,-0.00771,1.070244,-0.729594,0.9519709999999999,0.784948,-0.436485,58.778299,-36.853521
